iter	Passed	Remaining
788	7207	1927
789	7217	1918
790	7225	1909
791	7233	1899
792	7242	1890
793	7251	1881
794	7259	1871
795	7269	1862
796	7278	1853
797	7287	1844
798	7296	1835
799	7305	1826
800	7314	1817
801	7322	1807
802	7330	1798
803	7339	1789
804	7348	1779
805	7356	1770
806	7364	1761
807	7373	1752
808	7382	1742
809	7390	1733
810	7398	1724
811	7407	1714
812	7416	1705
813	7424	1696
814	7433	1687
815	7441	1678
816	7450	1668
817	7458	1659
818	7466	1650
819	7475	1640
820	7483	1631
821	7492	1622
822	7501	1613
823	7510	1604
824	7518	1594
825	7526	1585
826	7534	1576
827	7543	1566
828	7551	1557
829	7559	1548
830	7567	1539
831	7576	1529
832	7583	1520
833	7592	1511
834	7601	1502
835	7610	1492
836	7618	1483
837	7627	1474
838	7635	1465
839	7644	1456
840	7652	1446
841	7661	1437
842	7668	1428
843	7678	1419
844	7687	1410
845	7695	1400
846	7704	1391
847	7713	1382
848	7723	1373
849	7731	1364
850	7739	1355
851	7747	1345
852	7756	1336
853	7765	1327
854	7773	1318
855	7783	1309
856	7792	1300
857	7801	1291
858	7811	1282
859	7820	1273
860	7829	1263
861	7838	1254
862	7847	1245
863	7857	1236
864	7867	1227
865	7875	1218
866	7884	1209
867	7892	1200
868	7902	1191
869	7910	1182
870	7920	1173
871	7928	1163
872	7939	1154
873	7947	1145
874	7956	1136
875	7966	1127
876	7974	1118
877	7983	1109
878	7991	1100
879	8000	1091
880	8009	1081
881	8018	1072
882	8026	1063
883	8035	1054
884	8043	1045
885	8052	1036
886	8061	1026
887	8070	1017
888	8079	1008
889	8087	999
890	8096	990
891	8104	981
892	8113	972
893	8121	962
894	8130	953
895	8139	944
896	8148	935
897	8156	926
898	8165	917
899	8173	908
900	8182	899
901	8190	889
902	8199	880
903	8207	871
904	8216	862
905	8224	853
906	8233	844
907	8242	835
908	8250	825
909	8260	817
910	8269	807
911	8278	798
912	8286	789
913	8295	780
914	8303	771
915	8312	762
916	8320	753
917	8329	743
918	8337	734
919	8346	725
920	8354	716
921	8363	707
922	8371	698
923	8380	689
924	8390	680
925	8398	671
926	8407	662
927	8416	652
928	8424	643
929	8433	634
930	8442	625
931	8450	616
932	8459	607
933	8467	598
934	8476	589
935	8484	580
936	8493	571
937	8502	561
938	8512	552
939	8521	543
940	8529	534
941	8538	525
942	8546	516
943	8555	507
944	8564	498
945	8572	489
946	8581	480
947	8590	471
948	8597	462
949	8607	453
950	8615	443
951	8624	434
952	8633	425
953	8642	416
954	8651	407
955	8660	398
956	8669	389
957	8678	380
958	8688	371
959	8696	362
960	8705	353
961	8713	344
962	8722	335
963	8730	326
964	8739	316
965	8747	307
966	8756	298
967	8764	289
968	8773	280
969	8781	271
970	8790	262
971	8799	253
972	8808	244
973	8817	235
974	8825	226
975	8834	217
976	8842	208
977	8852	199
978	8860	190
979	8870	181
980	8878	171
981	8888	162
982	8896	153
983	8905	144
984	8914	135
985	8922	126
986	8932	117
987	8940	108
988	8949	99
989	8958	90
990	8967	81
991	8976	72
992	8985	63
993	8993	54
994	9002	45
995	9010	36
996	9019	27
997	9027	18
998	9036	9
999	9045	0
